YEAR,MO,DY,PS,WS10M,WS50M,RH2M,QV2M,TS,T2M,T2M_MAX,T2M_MIN,WS2M,PRECTOTCORR
1981,3,22,100.7,1.32,2.22,85.25,18.8,27.15,26.96,31.15,23.56,0.77,0.66
1981,3,23,100.65,1.2,2.09,84.56,18.74,27.49,27.15,31.48,23.95,0.63,1.68
1981,3,24,100.7,1.3,2.36,83.88,18.25,27.05,26.84,31.69,23.13,0.72,4.81
1981,3,25,100.77,1.52,2.75,86.62,18.55,26.8,26.51,30.77,23.33,0.82,3.78
1981,3,26,100.74,1.56,2.84,87.31,18.74,26.87,26.52,30.53,23.37,0.83,1.73
1981,3,27,100.69,1.54,2.7,85.12,18.68,27.23,26.92,31.23,23.43,0.82,3.09
1981,3,28,100.71,1.65,2.89,87.25,18.8,26.91,26.59,30.58,23.16,0.9,35.09
1981,3,29,100.73,1.38,2.48,85.81,18.92,27.33,27.02,31.29,23.8,0.72,2.91
1981,3,30,100.71,1.27,2.2,86,19.1,27.41,27.12,31.15,24.01,0.69,1.47
1981,3,31,100.66,1.61,2.79,86.94,19.29,27.36,27.06,31.08,23.83,0.87,7.72
1981,4,1,100.68,1.2,2.02,89.75,19.41,26.51,26.52,29.48,24.44,0.67,8.49
1981,4,2,100.75,1.27,2.27,85.88,19.17,27.58,27.2,31.66,23.64,0.68,0.96
1981,4,3,100.82,1.28,1.88,86,19.04,26.98,27,29.98,24.02,0.76,2.61
1981,4,4,100.76,1.07,1.76,88.56,18.92,26.16,26.33,28.82,24.05,0.58,5.57
1981,4,5,100.7,1.17,2.06,85.12,19.17,27.35,27.33,30.79,23.82,0.63,4.61
1981,4,6,100.71,1.23,2.02,86.06,19.29,27.43,27.26,31.12,23.65,0.66,10.88
1981,4,7,100.77,1.41,2.59,87.81,19.17,27.14,26.81,30.8,23.55,0.75,19.46
1981,4,8,100.76,1.58,2.7,87.62,19.17,27.07,26.83,31.01,23.51,0.87,6.77
1981,4,9,100.71,1.3,2.5,85.88,18.98,27.51,27.1,31.85,23.01,0.66,26.46
1981,4,10,100.68,1.57,2.77,88.19,19.35,27.17,26.87,30.84,23.33,0.84,15.47
1981,4,11,100.73,1.19,2.18,87,19.47,27.53,27.24,31.12,23.55,0.62,16.78
1981,4,12,100.87,1.18,2.19,94.25,19.17,25.53,25.48,26.82,24.08,0.62,13.1
1981,4,13,100.88,1.43,2.49,87.38,18.55,26.58,26.34,30.3,23.44,0.78,0.33
1981,4,14,100.94,1.39,2.41,91.06,19.04,26.11,26.03,29,23.75,0.72,4.38
1981,4,15,100.98,1.16,1.89,90.44,18.74,25.91,25.88,28.62,23.75,0.64,2.05
1981,4,16,101.01,1.34,2.44,89.31,18.37,26,25.78,28.84,23.27,0.7,18.13
1981,4,17,100.96,1.11,1.99,86.5,18.8,27.11,26.78,30.7,23.16,0.56,0.91
1981,4,18,101.04,1.58,2.93,87.81,19.41,27.34,27.05,31.2,23.73,0.84,7.13
1981,4,19,101.09,1.35,2.24,86.38,19.35,27.44,27.28,31.11,23.45,0.73,2.01
1981,4,20,101,1.19,2.08,88.75,19.53,26.98,26.9,29.9,23.76,0.62,13.95
1981,4,21,100.94,1.13,1.8,90.12,19.04,26.06,26.19,28.66,24.65,0.62,5.24
1981,4,22,100.94,0.88,1.34,84,18.62,27.04,27.1,30.86,23.88,0.5,17.4
1981,4,23,100.92,1.2,2.13,86.44,19.29,27.23,27.14,30.7,24.78,0.66,42.39
1981,4,24,100.96,1.53,2.82,90,19.84,27.11,26.94,30.61,23.9,0.82,23.27
1981,4,25,100.99,1.22,2.32,92.38,19.35,26.02,26.02,28.4,24.12,0.63,8.72
1981,4,26,100.93,1.02,1.94,87,18.92,27.05,26.79,30.41,23.68,0.48,0.27
1981,4,27,100.91,1.17,2.09,88.12,19.04,26.71,26.6,29.32,23.92,0.61,7.5
1981,4,28,100.84,0.88,1.47,84.25,18.98,27.43,27.36,31.01,24.65,0.48,1.02
1981,4,29,100.77,1.72,3.09,87.81,19.35,27.15,26.92,30.75,23.89,0.92,0.13
1981,4,30,100.87,1.34,2.47,89,19.53,27.05,26.86,30.93,23.85,0.71,5.14
1981,5,1,100.93,1.2,2.33,88.5,19.35,27.09,26.83,30.44,24.2,0.59,24.9
1981,5,2,100.89,1.38,2.4,87.69,19.04,26.9,26.71,30.46,23.62,0.69,12.35
1981,5,3,100.81,1.24,1.88,84.81,18.92,27.13,27.14,30.63,23.91,0.67,27.48
1981,5,4,100.76,1.29,2.27,86.19,18.92,27.06,26.9,30.46,23.89,0.63,6.03
1981,5,5,100.67,1.09,1.72,86,18.86,26.79,26.81,30.04,24.53,0.59,19.12
1981,5,6,100.66,1.03,1.8,86.44,19.1,27.01,26.94,30.23,24.23,0.55,8.2
1981,5,7,100.71,1.31,2.35,93.62,19.17,25.48,25.58,27.19,24.34,0.69,0.34
1981,5,8,100.6,1.48,2.62,88.12,19.17,26.94,26.69,30.83,23.26,0.77,0.05
1981,5,9,100.62,1.41,2.59,89.81,19.47,26.77,26.61,30.07,23.55,0.72,5.74
1981,5,10,100.6,1.71,3.12,92.19,19.84,26.46,26.4,29.44,24,0.9,3.87
1981,5,11,100.68,1.37,2.3,91.81,19.53,26.15,26.23,28.73,23.98,0.71,2.1
1981,5,12,100.64,1.7,3.01,91.94,19.29,26.07,26.02,28.92,23.73,0.89,2.18
1981,5,13,100.61,1.57,2.84,90.25,19.41,26.68,26.48,29.98,23.79,0.83,5.15
1981,5,14,100.67,1.72,3.02,93.88,19.59,25.9,25.88,28.48,23.97,0.89,4.43
1981,5,15,100.62,1.77,3.13,90.88,19.35,26.4,26.29,29.78,23.36,0.94,1.48
1981,5,16,100.58,1.55,2.8,90.12,19.65,26.87,26.67,30.2,24.09,0.82,3.06
1981,5,17,100.61,1.41,2.61,92.25,19.71,26.37,26.32,29.26,23.98,0.71,1.92
1981,5,18,100.69,1.46,2.5,95.19,19.9,25.77,25.88,27.44,24.51,0.74,14.91
1981,5,19,100.73,1.55,2.83,89.5,19.53,26.97,26.75,30.66,23.47,0.8,7.61
1981,5,20,100.78,1.3,2.39,92.38,19.35,26.12,26.01,28.73,23.93,0.66,74.57
1981,5,21,100.81,1.55,2.81,89.81,19.47,26.83,26.62,30.41,23.55,0.81,12.34
1981,5,22,100.84,1.47,2.68,88.12,19.65,27.33,27.15,30.83,23.78,0.76,0.83
1981,5,23,100.82,1.62,2.73,92.12,19.9,26.4,26.5,28.53,24.39,0.85,1.97
1981,5,24,100.8,1.41,2.42,92.31,19.59,26.19,26.22,28.92,24.12,0.74,5.49
1981,5,25,100.91,1.62,2.73,94.38,19.17,25.32,25.45,27.53,23.89,0.83,2.88
1981,5,26,100.86,1.51,2.66,90.56,19.17,26.31,26.25,29.68,23.44,0.78,0.39
1981,5,27,100.8,1.47,2.5,89.44,19.59,26.82,26.8,30.19,24.16,0.79,0.12
1981,5,28,100.76,1.2,2.08,89.31,19.65,27.07,26.89,30.37,23.54,0.61,73.12
1981,5,29,100.87,1.32,2.3,91.44,18.68,25.58,25.58,28.23,24.19,0.72,9.68
1981,5,30,100.85,1.03,1.7,85.62,18.25,26.57,26.42,30.35,22.2,0.55,33.89
1981,5,31,100.89,1.54,2.67,90.75,18.92,26.08,25.98,29.27,23.34,0.8,5.08
1981,6,1,100.92,1.22,2.12,87.12,18.37,26.45,26.26,30.59,22.45,0.62,0.31
1981,6,2,100.95,1.2,2.13,86.88,18.62,26.82,26.56,30.46,23.03,0.59,0.1
1981,6,3,100.91,1.27,2.06,86.12,18.62,26.75,26.63,30.51,23.62,0.66,0.45
1981,6,4,100.9,1.44,2.5,86.38,18.19,26.44,26.26,30.37,22.56,0.72,0.32
1981,6,5,100.92,1.52,2.77,87.06,18.07,26.28,26.02,30.48,22.38,0.77,0
1981,6,6,101,1.14,1.84,83.94,17.4,25.87,26.05,29.89,22.25,0.59,0.71
1981,6,7,100.94,1.38,2.54,87.56,18.55,26.4,26.31,30.08,22.77,0.7,0.25
1981,6,8,100.88,1.7,3.05,90.88,18.8,25.81,25.83,28.33,23.77,0.87,0
1981,6,9,100.92,1.3,2.3,88.12,18.37,26.12,26.03,29.33,23.08,0.65,0.62
1981,6,10,100.9,1.59,2.87,91.62,18.74,25.62,25.61,28.44,23.19,0.8,0.88
1981,6,11,100.86,1.65,2.99,90.94,18.68,25.66,25.72,28.78,23.37,0.84,0
1981,6,12,100.79,1.73,3.11,89.75,18.74,26.05,26.02,29.44,23.32,0.88,0.17
1981,6,13,100.7,1.64,2.98,89.69,19.1,26.44,26.33,29.93,23.31,0.84,5.36
1981,6,14,100.7,1.75,3.05,93.56,19.17,25.58,25.62,28.4,23.51,0.9,6
1981,6,15,100.78,1.59,2.87,90.44,18.49,25.74,25.64,29.17,23.1,0.8,2.69
1981,6,16,100.74,1.73,3.15,90.62,18.68,25.79,25.78,29.12,23.04,0.88,0.7
1981,6,17,100.79,1.37,2.27,93.12,19.04,25.27,25.56,27.8,23.59,0.74,5.26
1981,6,18,100.92,1.15,1.91,87.75,17.88,25.32,25.65,28.69,23.28,0.59,4.75
1981,6,19,100.98,1.15,1.89,89.69,17.94,25.2,25.27,28.19,23.14,0.59,0.09
1981,6,20,100.9,1.72,2.97,89.19,17.88,25.33,25.35,28.84,22.76,0.88,0
1981,6,21,100.82,1.48,2.54,84.38,16.24,24.57,24.71,28.27,21.96,0.77,0
1981,6,22,100.77,1.42,2.25,80.75,16.6,25.48,25.85,30.26,21.45,0.77,0.01
1981,6,23,100.84,1.14,1.9,86.06,17.82,25.75,25.92,29.96,22.09,0.55,15.1
1981,6,24,100.94,1.52,2.76,89,18.31,25.9,25.76,29.34,22.39,0.77,1.85
1981,6,25,100.94,1.23,2.16,86.88,18.07,26.19,26.02,30.02,22.62,0.63,24.41
1981,6,26,100.93,1.87,3.25,87.94,17.4,25.13,25.13,28.51,22.38,0.98,8.43
1981,6,27,100.96,1.41,2.46,87.12,17.64,25.69,25.58,29.44,21.86,0.71,0.2
1981,6,28,101.06,1.74,3.03,89.56,18.31,25.82,25.7,29.53,22.43,0.89,3.73
1981,6,29,101.12,1.54,2.74,91.94,17.94,24.81,24.87,27.87,22.44,0.77,25.71
1981,6,30,100.99,1.58,2.81,87.5,17.21,25.27,25.08,29.64,20.84,0.8,11.24
1981,7,1,100.88,1.86,3.22,89.31,17.82,25.42,25.29,29.35,21.67,0.96,2.28
1981,7,2,100.9,1.84,3.31,89.25,18.19,25.75,25.65,29.73,22.45,0.95,5.15
1981,7,3,100.91,1.74,3.09,90.56,18.43,25.61,25.58,29.47,22.4,0.88,0.13
1981,7,4,100.87,1.46,2.45,89.69,18.25,25.44,25.57,28.62,22.92,0.74,4.04
1981,7,5,100.84,1.37,2.2,86.75,17.94,25.78,25.9,29.32,22.53,0.75,0.1
1981,7,6,100.89,0.97,1.66,85.69,18.07,26.26,26.23,30.02,22.58,0.52,0.24
1981,7,7,100.93,1.05,1.66,83.75,18.01,26.4,26.55,29.51,23.9,0.58,1.53
1981,7,8,100.87,1.29,2.24,86.06,18.49,26.67,26.52,30.26,23.03,0.69,0.08
1981,7,9,100.79,1.64,2.82,87.19,18.31,26.35,26.17,29.91,22.95,0.85,0.29
1981,7,10,100.75,1.09,1.98,90.56,18.43,25.58,25.55,28.43,23.3,0.53,0.31
1981,7,11,100.84,0.97,1.93,86.19,17.58,25.76,25.65,29,22.88,0.45,2.19
1981,7,12,100.86,1.41,2.5,87,17.33,25.62,25.26,29.79,21.21,0.74,0.43
1981,7,13,100.86,1.7,2.99,88.62,18.25,25.92,25.83,30.09,22.13,0.88,0.29
1981,7,14,100.83,1.38,2.47,92,18.43,25.32,25.3,28.23,22.87,0.69,1.93
1981,7,15,100.85,1.66,2.87,93.81,18.49,24.86,24.98,27.26,23.12,0.84,1.99
1981,7,16,100.9,1.31,2.34,93.62,17.82,24.4,24.42,26.51,22.62,0.65,11.15
1981,7,17,100.83,1.53,2.65,91.94,17.76,24.72,24.68,27.64,22.36,0.78,3.08
1981,7,18,100.74,1.38,2.38,88.44,17.82,25.57,25.41,29.02,22.3,0.71,1.65
1981,7,19,100.71,1.47,2.59,93.69,18.19,24.65,24.68,27.03,22.81,0.76,22.11
1981,7,20,100.67,1.78,3.1,88.38,18.31,25.98,25.9,30.3,22.73,0.93,1.97
1981,7,21,100.71,1.8,3.1,92.19,18.37,25.19,25.14,28.37,22.61,0.92,3.41
1981,7,22,100.74,1.4,2.39,90.94,18.07,25.1,25.14,28.16,22.88,0.73,1.2
1981,7,23,100.87,1.27,2.14,89.31,17.64,25.18,25.12,28.6,22.44,0.68,3.82
1981,7,24,100.91,1.77,3.04,92.12,17.76,24.74,24.66,27.7,22.28,0.91,1.98
1981,7,25,101.05,1.61,2.88,93.75,17.7,24.21,24.28,26.73,22.3,0.82,65.08
1981,7,26,101.02,1.4,2.46,86.88,17.03,25.14,25.05,29.37,21.77,0.73,1.15
1981,7,27,100.87,1.8,3.23,87.62,17.76,25.83,25.61,30.16,21.55,0.93,0.12
1981,7,28,100.81,1.73,3.08,86.88,17.7,25.87,25.69,30.36,22.1,0.91,0.62
1981,7,29,100.89,1.38,2.66,86.75,18.01,26.38,26.02,30.75,22.08,0.68,2.77
1981,7,30,100.91,1.61,2.79,92.5,18.13,24.86,24.92,27.33,22.89,0.84,66.86
1981,7,31,100.89,1.32,2.18,93.06,17.82,24.47,24.52,27.46,22.54,0.69,4.23
1981,8,1,100.87,1.2,1.96,89.25,17.64,24.87,25.08,27.84,22.26,0.62,0.76
1981,8,2,100.96,1.43,2.41,87.94,17.7,25.34,25.42,28.54,22.23,0.75,1.14
1981,8,3,101.02,1.8,3.19,89.19,18.19,25.8,25.68,29.73,22.41,0.92,1.37
1981,8,4,100.87,1.66,2.99,86.62,18.07,26.23,26.07,30.33,22.7,0.85,0.12
1981,8,5,100.76,1.43,2.38,88.56,18.43,25.69,25.94,29.26,23,0.76,0.05
1981,8,6,100.89,1.91,3.48,89.56,18.37,25.84,25.75,29.47,23.18,0.99,0.13
1981,8,7,100.96,1.84,3.3,89.75,18.74,26.16,26.01,29.83,22.54,0.96,4.05
1981,8,8,100.9,1.93,3.52,85.25,17.7,26.28,26.07,30.69,22.96,1.01,0.28
1981,8,9,100.88,1.67,3.02,87.81,17.15,25.15,24.96,28.79,22.33,0.86,0.11
1981,8,10,101,1.75,3.15,86.94,17.64,25.87,25.65,29.73,22.61,0.91,0.05
1981,8,11,101.02,2.02,3.57,88.81,17.76,25.36,25.35,29.18,22.13,1.04,2.46
1981,8,12,101.01,2.1,3.64,88.19,17.4,25.25,25.18,29.62,21.98,1.09,1.33
1981,8,13,100.99,2.11,3.64,87.62,17.4,25.38,25.26,30.17,21.29,1.09,0.05
1981,8,14,100.98,2.09,3.62,86.81,17.64,25.9,25.73,30.68,21.91,1.07,0.1
1981,8,15,100.95,2.21,3.74,88.06,17.82,25.78,25.58,30.24,22.05,1.15,0.07
1981,8,16,100.91,2.24,3.81,88.38,18.13,25.94,25.78,30.23,22.58,1.17,0.12
1981,8,17,100.94,2.35,4.11,86.69,17.4,25.59,25.47,29.81,22.92,1.25,0.03
1981,8,18,100.88,2.05,3.62,87.5,16.85,24.76,24.71,28.8,21.12,1.04,0
1981,8,19,100.89,2.07,3.56,86.06,17.4,25.83,25.61,30.65,21.12,1.08,0.01
1981,8,20,100.92,1.79,3.15,87.19,17.82,25.98,25.76,30.35,22,0.92,0.74
1981,8,21,100.92,1.9,3.29,88.12,17.76,25.65,25.51,29.73,21.81,0.98,0.04
1981,8,22,100.99,1.73,3.12,91.31,18.19,25.18,25.23,28.26,22.7,0.85,0
1981,8,23,100.99,2.08,3.64,88.56,17.88,25.55,25.56,30.06,22.57,1.05,0.01
1981,8,24,101.02,2.12,3.62,85.5,17.27,25.73,25.62,30.73,21.3,1.1,0.37
1981,8,25,100.98,1.97,3.38,86.31,17.64,26.06,25.8,30.56,22.2,1.02,0.04
1981,8,26,100.96,2.1,3.62,86.31,17.09,25.51,25.29,30.15,21.26,1.09,0.2
1981,8,27,100.92,2.03,3.53,85.5,17.15,25.76,25.51,30.37,21.19,1.05,0.2
1981,8,28,100.81,2.11,3.55,86.06,17.21,25.63,25.43,30.47,21.54,1.09,2.45
1981,8,29,100.76,2.23,3.83,84.81,16.97,25.64,25.49,30.73,21.54,1.16,0.07
1981,8,30,100.75,2.22,3.77,86.56,17.94,26.19,26,30.79,22.29,1.16,0
1981,8,31,100.78,2.15,3.67,85.81,18.01,26.48,26.24,31.12,22.76,1.13,0
1981,9,1,100.78,2.01,3.52,84.56,17.52,26.34,26.09,30.97,22.12,1.06,0.01
1981,9,2,100.89,1.75,2.94,91.56,18.07,25.02,25.07,28.65,22.44,0.93,18.51
1981,9,3,100.86,1.98,3.3,87.94,17.64,25.38,25.4,29.62,22.48,1.08,3.24
1981,9,4,100.82,1.93,3.37,88.38,17.7,25.48,25.34,29.48,22.39,1,0.56
1981,9,5,100.9,1.81,3.17,86.75,17.76,25.98,25.81,29.96,22.7,0.95,7.48
1981,9,6,100.97,1.94,3.39,89.31,17.88,25.38,25.34,28.47,22.45,1.04,33.87
1981,9,7,101,2.04,3.55,87.38,17.52,25.68,25.48,29.8,22.16,1.09,8.9
1981,9,8,100.96,1.8,3.2,88.94,17.94,25.73,25.51,29.61,22.25,0.97,23.78
1981,9,9,100.94,1.84,3.22,87.69,17.82,25.93,25.69,29.65,22.81,0.97,0.83
1981,9,10,100.91,1.91,3.45,89.94,18.01,25.37,25.31,28.61,22.57,1,0.86
1981,9,11,100.84,1.48,2.66,85.44,17.64,26.4,25.98,30.69,22.2,0.77,0.4
1981,9,12,100.81,1.41,2.52,86.81,17.88,26.1,25.84,30.08,22.2,0.75,4.23
1981,9,13,100.84,1.73,3.14,85.5,18.07,26.69,26.37,31.14,22.69,0.91,7.22
1981,9,14,100.85,1.8,3.16,89.25,18.19,25.74,25.62,29.51,22.43,0.96,7.86
1981,9,15,100.88,1.55,2.75,85,17.88,26.61,26.31,30.96,22.67,0.8,0.33
1981,9,16,100.94,1.29,1.99,85.88,17.82,25.81,26.01,29.57,22.66,0.7,9.07
1981,9,17,100.97,1.35,2.57,87.88,17.94,25.95,25.73,29.25,23.29,0.69,30.1
1981,9,18,100.92,1.41,2.71,85,17.52,26.26,25.96,30.58,22.58,0.73,0.49
1981,9,19,100.87,1.36,2.41,86.94,18.37,26.59,26.26,30.51,22.67,0.71,4.63
1981,9,20,100.93,1.78,3.18,88.75,18.19,25.88,25.75,28.88,23.3,0.95,3.1
1981,9,21,100.86,1.38,2.6,89.38,18.68,26.21,26.04,30.41,23.23,0.73,0.67
1981,9,22,100.92,0.89,1.66,87.06,18.07,26.09,25.98,28.89,24.04,0.45,2.64
1981,9,23,100.86,1.2,2.27,85.88,17.7,26.27,25.93,30.12,22.95,0.61,0.66
1981,9,24,100.82,1.1,1.63,80.44,17.4,26.52,26.76,30.71,22.66,0.64,28.2
1981,9,25,100.84,1.28,2.42,86.56,18.43,26.8,26.44,30.71,22.87,0.66,20.2
1981,9,26,100.91,1.41,2.38,86.69,18.8,26.81,26.69,29.85,23.94,0.79,26.64
1981,9,27,100.95,1.6,2.67,91.75,18.25,25.26,25.18,27.52,23.13,0.88,3.6
1981,9,28,100.97,1.41,2.59,86.81,17.27,25.33,25.29,28.73,22.66,0.72,2.33
1981,9,29,100.99,1.55,2.83,84.81,17.33,25.9,25.8,29.86,22.52,0.81,2.1
1981,9,30,101.03,2.11,3.56,88.56,18.19,25.86,25.79,29.24,22.81,1.12,0.81
1981,10,1,101.02,1.66,2.88,85.88,18.25,26.66,26.43,30.73,22.59,0.88,1.18
1981,10,2,100.96,1.93,3.42,87.5,18.62,26.54,26.38,30.23,23.3,1.02,1.77
1981,10,3,100.97,1.5,2.62,86,18.31,26.72,26.5,30.92,22.96,0.77,2.81
1981,10,4,100.89,2.23,3.88,87.69,18.01,26.01,25.83,30.53,21.91,1.19,12.72
1981,10,5,100.87,1.74,3.11,87.44,18.25,26.37,26.09,30.52,22.59,0.92,2
1981,10,6,100.91,1.88,3.22,91,18.43,25.67,25.54,29.05,23.3,1.01,6.68
1981,10,7,100.98,1.4,2.47,89.56,18.07,25.64,25.46,29.3,22.73,0.73,18.58
1981,10,8,101.02,1.83,3.22,84.69,17.58,26.46,26.1,31.11,21.94,0.98,0.09
1981,10,9,100.96,1.7,2.87,84.94,18.01,26.71,26.43,30.98,22.51,0.92,0.19
1981,10,10,100.84,1.45,2.7,83.5,17.52,26.85,26.35,31.62,21.84,0.73,6.23
1981,10,11,100.85,1.52,2.69,85.81,17.88,26.52,26.15,30.96,22.34,0.83,2.93
1981,10,12,100.92,0.98,1.67,84.88,18.13,26.75,26.53,30.5,23.37,0.52,5.28
1981,10,13,100.96,1.35,2.27,89.69,17.88,25.14,25.23,27.78,23.45,0.73,28.58
1981,10,14,100.94,0.79,1.19,86.31,17.58,25.56,25.6,28.83,23,0.44,18.3
1981,10,15,100.89,1.79,3.27,86.88,18.01,26.3,26.01,30.33,22.73,0.96,19.33
1981,10,16,100.89,1.49,2.63,88.38,18.25,25.88,25.87,29.51,22.48,0.77,12.24
1981,10,17,100.97,1.72,3.09,87.06,17.7,25.8,25.7,29.58,22.94,0.89,1.91
1981,10,18,100.86,1.52,2.73,86,17.88,26.4,26.06,30.94,22.02,0.81,10.08
1981,10,19,100.84,1.98,3.48,87.75,18.43,26.4,26.19,30.27,23.19,1.08,1.17
1981,10,20,100.83,1.98,3.58,84.06,18.01,26.87,26.63,31.22,23.44,1.06,0.03
1981,10,21,100.75,1.8,3.24,84.38,17.76,26.65,26.3,31.19,22.01,0.95,0.28
1981,10,22,100.81,1.83,3.15,86.81,18.62,26.79,26.48,31.19,22.58,1,0.73
1981,10,23,100.89,1.62,2.94,85.56,18.55,26.98,26.76,31.01,23.87,0.87,0.78
1981,10,24,100.93,1.27,2.06,83.62,18.55,27.32,27.16,31.11,23.68,0.7,0.94
1981,10,25,100.96,1.42,2.64,87.44,18.92,26.96,26.68,30.1,24.05,0.75,8.29
1981,10,26,100.89,1.21,2.05,85.25,18.37,26.99,26.68,30.37,23.55,0.64,7.17
1981,10,27,100.73,0.94,1.55,80.5,18.25,27.77,27.53,32,23.94,0.49,6.01
1981,10,28,100.8,1.09,1.82,82.94,18.43,27.45,27.18,31.72,23.29,0.59,24.4
1981,10,29,100.8,1.07,1.72,86.12,18.62,26.85,26.65,30.43,23.62,0.59,16.94
1981,10,30,100.75,1.27,2.1,89.94,18.43,25.51,25.63,27.65,23.88,0.7,6.05
